trait.name,mosquito_species,pathogen,TPC.function,ref,ref2,ref3
a,Aedes aegypti,none,Briere,Mordecai2017,Tesla2018,Mordecai2019
a,Aedes albopictus,none,Briere,Mordecai2017,Mordecai2019,
a,Anopheles spp.,none,Briere,Mordecai2013,Mordecai2019,
a,Culex quinquefasciatus,none,Briere,Mordecai2019,,
a,Culex spp.,none,Briere,Shocket2018,Mordecai2019,
a,Other spp.,none,Briere,Mordecai2017,Mordecai2019,
b,Aedes aegypti,DENV,Briere,Mordecai2017,Mordecai2019,
b,Aedes albopictus,other togavirus,Briere,Mordecai2017,,
b,Aedes albopictus,DENV,Briere,Mordecai2019,,
b,Culex spp.,other flavivirus,Briere/Quadratic,Mordecai2017,Mordecai2019,
b,Culex spp.,other togavirus,Quadratic,Mordecai2019,,
b,Culex spp.,WNV,Quadratic,Mordecai2019,,
bc,Aedes aegypti,ZIKV,Briere,Tesla2018,Mordecai2019,
bc,Aedes spp.,other togavirus,Quadratic,Mordecai2019,,
bc,Anopheles spp.,Plasmodium spp.,Quadratic,Mordecai2013,Mordecai2019,
bc,Culex univittatus,WNV,Quadratic,Shocket2020,,
bc,Culex spp.,other flavivirus,,,,
bc,Culex spp.,other togavirus,Quadratic,Mordecai2019,,
bc,Culex spp.,WNV,Quadratic,Mordecai2019,,
bc,Other spp.,other togavirus,,,,
c,Aedes aegypti,DENV,Briere,Mordecai2017,Mordecai2019,
c,Aedes albopictus,other togavirus,Briere,Mordecai2017,,
c,Aedes albopictus,DENV,Briere,Mordecai2017,Mordecai2019,
c,Aedes spp.,other togavirus,Quadratic,Mordecai2019,,
c,Culex spp.,other togavirus,Quadratic,Mordecai2019,,
c,Culex spp.,other flavivirus,Briere/Quadratic,Mordecai2017,Mordecai2019,
c,Culex spp.,WNV,Quadratic,Mordecai2019,,
e2a,Aedes aegypti,none,Quadratic,Mordecai2017,Tesla2018,Mordecai2019
e2a,Aedes albopictus,none,Quadratic,Mordecai2017,Mordecai2019,
e2a,Anopheles spp.,none,Quadratic,Mordecai2013,Mordecai2019,
EFD,Aedes aegypti,none,Briere,Mordecai2017,Tesla2018,Mordecai2019
EFD,Aedes albopictus,none,Quadratic,Mordecai2013,,
EFD,Aedes spp.,none,Briere,Mordecai2017,,
EFD,Culex spp.,none,Briere/Quadratic,Shocket2018,Mordecai2019,
EFOC,Culex spp.,none,Quadratic,Mordecai2019,,
EPR,Aedes spp.,none,,,,
EPR,Culex quinquefasciatus,none,Quadratic,Mordecai2019,,
EPR,Culex spp.,none,,,,
EV,Aedes spp.,none,,,,
EV,Culex quinquefasciatus,none,Quadratic,Dahlin2023,,
EV,Culex spp.,none,Quadratic,Dahlin2023,,
lf,Aedes aegypti,none,Quadratic,Mordecai2017,Tesla2018,Mordecai2019
lf,Aedes aegypti,ZIKV,Quadratic,Mordecai2017,Mordecai2019,
lf,Aedes albopictus,none,Quadratic,Mordecai2017,Mordecai2019,
lf,Aedes spp.,none,Quadratic,Mordecai2017,,
lf,Anopheles spp.,none,Briere,Mordecai2013,,
lf,Culex quinquefasciatus,none,Linear,Mordecai2019,,
lf,Culex spp.,none,Quadratic,Shocket2018,Mordecai2019,
MDR,Aedes aegypti,none,Briere,Mordecai2017,Tesla2018,Mordecai2019
MDR,Aedes albopictus,none,Briere,Mordecai2017,Mordecai2019,
MDR,Aedes spp.,none,Briere,Mordecai2017,Mordecai2019,
MDR,Anopheles spp.,none,Briere,Mordecai2013,Mordecai2019,
MDR,Culex quinquefasciatus,none,Briere,Mordecai2019,,
MDR,Culex spp.,none,Briere,Shocket2018,Mordecai2019,
MDR,Culex spp.,WNV,,,,
MDR,Other spp.,none,Briere,Mordecai2019,,
nLR,Culex spp.,none,Quadratic,Mordecai2019,,
PDR,Aedes aegypti,DENV,Briere,Mordecai2017,Mordecai2019,
PDR,Aedes aegypti,other flavivirus,,,,
PDR,Aedes aegypti,ZIKV,Briere,Tesla2018,,
PDR,Aedes albopictus,DENV,Briere,Mordecai2017,Mordecai2019,
PDR,Aedes spp.,other togavirus,Briere,Shocket2018,Mordecai2019,
PDR,Anopheles spp.,Plasmodium spp.,Briere,Mordecai2013,Mordecai2019,
PDR,Culex quinquefasciatus,WNV,Briere,Mordecai2017,Mordecai2019,
PDR,Culex univittatus,WNV,Briere,Shocket2020,,
PDR,Culex spp.,other togavirus,Briere,Mordecai2017,Mordecai2019,
PDR,Culex spp.,WNV,Briere,Mordecai2017,Mordecai2019,
PDR,Culex spp.,other flavivirus,Briere,Mordecai2017,Mordecai2019,
PDR,Other spp.,other togavirus,Briere,Shocket2018,,
pLA,Aedes spp.,none,Quadratic,Mordecai2019,,
pLA,Culex quinquefasciatus,none,Quadratic,Mordecai2019,,
pLA,Culex spp.,none,Quadratic,Shocket2018,,
pLA,Other spp.,none,Quadratic,Mordecai2019,,
pO,Aedes spp.,none,,,,
pO,Culex quinquefasciatus,none,Briere,Mordecai2019,,
pO,Culex spp.,none,Quadratic,Mordecai2019,,
pO,Other spp.,none,Quadratic,Mordecai2019,,
pRH,Culex spp.,none,,,,
EFOC,Aedes albopictus,none,Briere,Mordecai2017,Mordecai2019,
EFOC,Anopheles spp.,none,Briere,Dahlin2023,,
PDR,Anopheles gambiae,Plasmodium falciparum,Briere,Villena2021,,
e2a,Anopheles gambiae,none,Quadratic,Villena2021,,
MDR,Anopheles gambiae,none,Briere,Villena2021,,
lf,Anopheles gambiae,none,Briere,Mordecai2013,,
EFD,Anopheles gambiae,none,Quadratic,Villena2021,,
a,Anopheles gambiae,none,Briere,Villena2021,,
bc,Anopheles gambiae,Plasmodium falciparum,Quadratic,Villena2021,,
EFOC,Anopheles gambiae,none,Briere,Dahlin2023,,
