ref,mosquito_species,pathogen,source,traits
Afrane et al. 2007,Anopheles arabiensis,none,Villena 2022,"e2a, EFD, MDR"
Afrane et al. 2008,Anopheles gambiae,Plasmodium falciparum,Villena 2022,PDR
Alto&Bettinardi_2013_AJTMH,Aedes aegypti,DENV,Mordecai 2017,"c, b"
Alto&Bettinardi_2013_AJTMH,Aedes albopictus,DENV,Mordecai 2017,"c, b"
Alto_et_al_2001b,Aedes albopictus,NA,Mordecai 2017,prop.dead
Alto_et_al_2001b_JMedEnto,Aedes albopictus,NA,Mordecai 2017,MDR
Anderson_2006,Aedes spp.,other,Mordecai 2017,EIP
Andreadis_2014_ParasRes,Culex pipiens,NA,Shocket 2020,1/mu
Aytekin_2009_JOVE,Anopheles superpictus,NA,Dahlin 2023,TFD
Barreaux et al. 2016,Anopheles gambiae,Plasmodium berghei,Villena 2022,bc
Barton_2005_ProcLSNSW,Ochlerotatus camptorhynchus,NA,Shocket 2018,"1/MDR, pLA"
"Bayoh & Linsday, 2003",Anopheles gambiae,none,Mordecai 2013,"pEA, MDR"
Bayoh 2001,Anopheles gambiae,none,Villena 2022,mu
Bayoh and Lindsay 2003,Anopheles gambiae,none,Villena 2022,"e2a, MDR"
Beserra_2009,Aedes aegypti,NA,Mordecai 2017,"1/mu, EFD"
Blanc_1930,Aedes spp.,other,Mordecai 2017,EIP
"Boyd & Stratman-Thomas, 1933",Anopheles quadrimaculatus,Plasmodium malariae,Mordecai 2013,EIP
Boyd 1932,Anopheles quadrimaculatus,Plasmodium vivax,Villena 2022,PDR
Boyd and Stratman-Thomas 1933,Anopheles quadrimaculatus,Plasmodium malariae,Villena 2022,PDR
Briegel_etal_2001_JMedEnto,Aedes albopictus,NA,Mordecai 2017,MDR
Brust_1967_CanEntomol,Aedes nigromaculis,NA,Shocket 2020,1/MDR
Brust_1967_CanEntomol,Aedes vexans,NA,Shocket 2020,1/MDR
Brust_1967_TheCanadianEntomologist,Aedes nigromaculis,NA,Shocket 2020,pLA
Brust_1967_TheCanadianEntomologist,Aedes vexans,NA,Shocket 2020,pLA
Buth_1990_JAMCA,Culex restuans,NA,Shocket 2020,"1/MDR, pLA"
Buth_1990_JAMCA,Culex tarsalis,NA,Shocket 2020,"1/MDR, pLA"
Calado&Navarro-Silva_2002,Aedes spp.,NA,Mordecai 2017,EFD
Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,Aedes albopictus,NA,Mordecai 2017,"1/mu, EFD"
Calado_Navarro-Silva_2002b_RevSaudaPublica,Aedes albopictus,NA,Mordecai 2017,1/MDR
Callado (2002),Aedes spp.,NA,Mordecai 2017,a
Carrington_et_al_2013_PNTD,Aedes aegypti,DENV,Mordecai 2017,"c, b, EIP"
Chamberlain&Sudia_1995_AmJEpi,Aedes triseriatus,EEEV,Shocket 2020,"bc, EIP"
Christiansen-Jucht 2015,Anopheles gambiae,none,Villena 2022,"EFD, MDR"
Christiansen-Jucht_2015_Parasites&Vectors,Anopheles gambiae,NA,Dahlin 2023,EFGC
Ciota_2014_JMedEntom,Culex pipiens,NA,Shocket 2020,"pO, 1/mu, 1/MDR, pLA"
Ciota_2014_JMedEntom,Culex quinquefasciatus,NA,Shocket 2020,"pO, 1/mu, 1/MDR, pLA"
Ciota_2014_JMedEntom,Culex restuans,NA,Shocket 2020,"1/mu, 1/MDR, pLA"
Cornel_1993_JMedEntom,Culex univittatus,WNV,Shocket 2020,"bc, EIP"
Couret_et_al_2007_PLOS,Aedes aegypti,NA,Mordecai 2017,MDR
Davis_1932_AmJEpidemiology,Aedes aegypti,YFV,Mordecai 2017,PDR
"Delatte et al., 2009",Aedes albopictus,none,Mordecai 2013,EFD
Delatte_etal_2009_JMedEnto,Aedes albopictus,NA,Mordecai 2017,"pEA, TFD, GCD, MDR"
Dodson_2012_Parasites&Vectors,Culex tarsalis,WNV,Shocket 2020,1/MDR
Dodson_2012_Parasites&Vectors,Culex tarsalis,NA,Shocket 2020,pLA
Dohm_2002_JMedEntomol,Culex pipiens,WNV,Shocket 2020,"c, EIP"
Eisen_et_al_2014,Aedes aegypti,NA,Mordecai 2017,"MDR, pEA"
Eling et al 2001,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
"Eling et al., 2001",Anopheles stephensi,Plasmodium falciparum,Mordecai 2013,EIP
Ezeakacha_Dissertation_2015,Aedes albopictus,NA,Mordecai 2017,"MDR, TFD, 1/mu"
Focks_et_al_1993a_JMedEntom,Aedes aegypti,NA,Mordecai 2017,GCR
Focks_et_al_1995_AJTMH,Aedes aegypti,DENV,Mordecai 2017,EIP
Grieco et al. 2003,Anopheles albimanus,none,Villena 2022,e2a
Jalil 1972,Aedes spp.,NA,Mordecai 2017,"e2a, mdr"
Joshi_1996,Aedes spp.,NA,Mordecai 2017,"1/MDR, 1/mu, EFD"
Ju-lin_2017_ChinJVectorBiol&Control,Culex pipiens,NA,Shocket 2020,"GCD, EFOC, Egg viability, 1/MDR, pLA"
Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Aedes aegypti,NA,Mordecai 2017,"MDR, pEA"
Kay_&_Jennings_2002_J_Med_Entom,Ochlerotatus vigilax,RRV,Shocket 2018,"EIP, bc"
Kay_1989_MedVetEntom,Culex annulirostris,MVE,Shocket 2018,"EIP, bc"
Kerri 2019,Anopheles stephensi,none,Villena 2022,mu
KiarieMakura_2015_Jpharm&BioSciences,Culex pipiens molestus,NA,Shocket 2020,"1/mu, 1/MDR"
KiarieMakura_2015_Jpharm&BioSciences,Culex pipiens pallens,NA,Shocket 2020,"1/mu, 1/MDR"
Kilpatrick_2008_PLOSPathogens,Culex pipiens,WNV,Shocket 2020,"c, bc, EIP"
Kirby and Lindsay 2009,Anopheles arabiensis,none,Villena 2022,"e2a, MDR"
Kirby and Lindsay 2009,Anopheles gambiae,none,Villena 2022,"e2a, MDR"
"Knowles & Basu, 1943",Anopheles stephensi,Plasmodium vivax and plasmodium malarie and plasmodium falciparum,Mordecai 2013,EIP
Knowles and Basu 1943,Anopheles stephensi,Plasmodium malariae,Villena 2022,PDR
Kramer_et_al_1983_AmJTropMedHyg,Culex tarsalis,WEEV,Shocket 2020,"c, bc, EIP"
Lambrects_et_al_2011_PNAS,Aedes aegypti,DENV,Mordecai 2017,"c, b"
Lardeux et al 2008,Aedes spp.,NA,Mordecai 2017,a
Lardeux et al 2008,Anopheles pseudopunctipennis,none,Villena 2022,a
"Lardeux et al., 2008",Anopheles pseudopunctipennis,none,Mordecai 2013,a
Loetti_2011_JNatHist,Culex pipiens,NA,Shocket 2020,"1/MDR, pLA"
Love and Whelchel 1957,Anopheles quadrimaculatus,none,Villena 2022,"e2a, MDR"
Lundstr_m_1990_AmJTropMedHyg,Culex pipiens,SINV,Shocket 2020,c
Lyons et al. 2013,Anopheles arabiensis,none,Villena 2022,"e2a, MDR"
Lyons et al. 2013,Anopheles funestus,none,Villena 2022,"e2a, MDR"
Madder_1983_JMedEntom,Culex pipiens,NA,Shocket 2020,"GCD, 1/MDR, pLA"
Madder_1983_JMedEntom,Culex restuans,NA,Shocket 2020,"1/MDR, pLA"
Maharaj 1996,Anopheles arabiensis,none,Villena 2022,"e2a, EFD, a"
Mahmood 1997,Anopheles albimanus,none,Villena 2022,"e2a, MDR"
Mahmood_1997_JAMCA,Culiseta melanura,NA,Shocket 2020,"GCD, pO"
Mahmood_1998_JMedEntom,Culiseta melanura,NA,Shocket 2020,"1/MDR, pLA"
Mala et al. 2014,Anopheles gambiae,none,Villena 2022,EFD
Mala et al. 2015,Anopheles gambiae,none,Villena 2022,EFD
Mala et al. 2016,Anopheles gambiae,none,Villena 2022,EFD
Mala et al. 2017,Anopheles gambiae,none,Villena 2022,EFD
McDonald_1980_AusJofEco,Culex annulirostris,NA,Shocket 2018,"pLA, pRH, 1/MDR, 1/mu, EFD"
McHaffey_&_Harwood_1970_JMedEnt,Aedes dorsalis,NA,Shocket 2020,Egg viability
McHaffey_1972_JMedEntom,Aedes vexans,NA,Shocket 2020,Egg viability
McHaffey_1972_MosquitoNews,Aedes nigromaculis,NA,Shocket 2020,Egg viability
McLeah_et_al_1975_MosquitoNews,Aedes aegypti,DENV,Mordecai 2017,EIP
McLean_et_al_1974_CanJMicobiol,Aedes aegypti,DENV,Mordecai 2017,EIP
Mogi_1992_AnnalsoftheEnt.SocietyofAmerica,Culex pipiens pallens,NA,Shocket 2020,"GCD, EPR, 1/MDR, pLA"
Mogi_1992_AnnalsoftheEnt.SocietyofAmerica,Culex quinquefasciatus,NA,Shocket 2020,"EPR, 1/MDR, pLA"
Morin_et_al_2015,Aedes aegypti,NA,Mordecai 2017,GCR
Mottram_1986_JAustEntSoc,Culex annulirostris,NA,Shocket 2018,"pRH, nLR, pLA, 1/MDR"
Mpho_2001_Chemosphere,Culex quinquefasciatus,NA,Shocket 2020,"1/MDR, pLA"
Mpho_2002_EuroJEntom,Culex pipiens,NA,Shocket 2020,"1/MDR, pLA"
Mpho_2002_Heredity,Culex pipiens,NA,Shocket 2020,"1/MDR, pLA"
Murdock et al. 2016,Anopheles gambiae,none,Villena 2022,e2a
Murdock et al. 2016,Anopheles stephensi,none,Villena 2022,e2a
Murdock et al. 2019,Anopheles stephensi,none,Villena 2022,EFD
Muturi_2011_JMedEntom,Culex restuans,NA,Shocket 2020,"1/MDR, pLA"
Muturi_et_al_2011_JMedEnto,Aedes albopictus,NA,Mordecai 2017,"pEA, MDR"
Nayar_1972_J.Insect.Physiol.,Aedes taeniorhynchus,NA,Shocket 2020,1/mu
Oda_1980_JTropMed,Culex pipiens molestus,NA,Shocket 2020,"EPR, pO"
Oda_1980_JTropMed,Culex quinquefasciatus,NA,Shocket 2020,"EPR, pO"
Oda_1999_JAMMosqControlAssoc,Culex pipiens molestus,NA,Shocket 2020,"1/mu, pLA"
Oda_1999_JAMMosqControlAssoc,Culex quinquefasciatus,NA,Shocket 2020,"1/mu, pLA"
Olayemi and Ande 2009,Anopheles gambiae,none,Villena 2022,"e2a, EFD, MDR"
Olejnicek&Gelbic_2000_JofVectorEcology,Culex pipiens molestus,NA,Shocket 2020,"1/MDR, pLA"
Paaijmans et al. 2011,Anopheles stephensi,Plasmodium yoelii,Villena 2022,PDR
Paaijmans et al. 2013,Anopheles stephensi,Plasmodium yoelii,Villena 2022,PDR
Paaijmans et al. 2013,Anopheles stephensi,none,Villena 2022,"e2a, a, MDR"
Parker_1982_AnnEntomolSocAm,Aedes dorsalis,NA,Shocket 2020,"EPR, pO"
Paull_2017_ProcB,Culex quinquefasciatus,WNV,Shocket 2020,EIP
Poveda et al. 2008,Anopheles albimanus,Plasmodium falciparum,Villena 2022,PDR
Poveda et al. 2008,Anopheles albimanus,none,Villena 2022,"a, MDR"
Rae_1990_J_Med_Entom,Culex annulirostris,NA,Shocket 2018,"pLA, 1/MDR"
Rayah_1983_NedEntomolVerAmsterdam,Culex quinquefasciatus,NA,Shocket 2020,Egg viability
Reisen_1992_JMedEntomol,Culex quinquefasciatus,NA,Shocket 2020,GCD
Reisen_1992_JMedEntomol,Culex tarsalis,NA,Shocket 2020,GCD
Reisen_1993_J_Med_Entomology,Culex tarsalis,SLEV,Shocket 2020,"b, c, EIP"
Reisen_1993_J_Med_Entomology,Culex tarsalis,WEEV,Shocket 2020,"b, c, EIP"
Reisen_1995_JMedEntomol,Culex tarsalis,NA,Shocket 2020,"1/mu, 1/MDR, pLA"
Reisen_2006_JMedEntomol,Culex tarsalis,WNV,Shocket 2020,"b, EIP"
Reisen_etal_2006_JMedEntom,Culex tarsalis,SLEV,Mordecai 2017,PDR
Reisen_etal_2006_JMedEntom,Culex tarsalis,WEEV,Mordecai 2017,PDR
Reisen_etal_2006_JMedEntom,Culex tarsalis,WNV-NY99,Mordecai 2017,PDR
Reisen_etal_2006_JMedEntom,Culex univitattus,WNV-SA,Mordecai 2017,PDR
Rohani_2009,Aedes spp.,other,Mordecai 2017,EIP
"Rueda,Patel,Axtell,&Stinner_1990_JournalofMedicalEntomology",Culex quinquefasciatus,NA,Shocket 2020,pLA
Rueda_Patel_Axtell_Stinner_1990_JMedEntomol,Culex quinquefasciatus,NA,Shocket 2020,1/MDR
Rueda_et_al_1990_EntSocAm,Aedes aegypti,NA,Mordecai 2017,"MDR, pEA"
Russell_1986_AusJEntom,Culex annulirostris,NA,Shocket 2018,GCD
Ruybal_2016_Paras&Vec,Culex pipiens,NA,Shocket 2020,"1/MDR, pLA"
Ruybal_2016_Parasites&Vectors,Culex pipiens,NA,Shocket 2020,"GCD, 1/mu"
Salazar_2007,Aedes spp.,other,Mordecai 2017,EIP
Shapiro et al. 2017,Anopheles stephensi,Plasmodium falciparum,Villena 2022,"PDR, bc"
Shapiro et al. 2017,Anopheles stephensi,none,Villena 2022,"a, mu"
Shelton_1973_MosquitoNews,Aedes sollicitans,NA,Shocket 2020,"1/MDR, pLA"
Shelton_1973_MosquitoNews,Aedes triseriatus,NA,Shocket 2020,"1/MDR, pLA"
Shelton_1973_MosquitoNews,Culex quinquefasciatus,NA,Shocket 2020,"1/MDR, pLA"
Shelton_1973_MosquitoNews,Culex restuans,NA,Shocket 2020,"1/MDR, pLA"
"Shute & Maryon, 1952",Anopheles atroparvus,Plasmodium vivax and plasmodium malarie and plasmodium ovale,Mordecai 2013,EIP
Shute and Maryon 1952,Anopheles maculipennies,Plasmodium malariae,Villena 2022,PDR
Siddons 1944,Anopheles culicifacies,Plasmodium malariae,Villena 2022,PDR
"Siddons, 1944",Anopheles culicifacies,Plasmodium falciparum and plasmodium vivax,Mordecai 2013,EIP
Stratman-Thomas 1940,Anopheles quadrimaculatus,Plasmodium vivax,Villena 2022,"PDR, bc"
"Stratman-Thomas, 1940",Anopheles quadrimaculatus,Plasmodium vivax,Mordecai 2013,bc
Teckle_1960_AJTMH,Culex pipiens,NA,Shocket 2020,"GCD, 1/MDR, pLA"
Teckle_1960_AJTMH,Culex quinquefasciatus,NA,Shocket 2020,"GCD, 1/MDR, pLA"
Tekle_1960_AJTMH,Culex pipiens,NA,Shocket 2020,pO
Tekle_1960_AJTMH,Culex quinquefasciatus,NA,Shocket 2020,pO
TengApperson_2000_J.Med.Entomol.,Aedes triseriatus,NA,Shocket 2020,pLA
Teng_Apperson_2000_JMedEnto,Aedes albopictus,NA,Mordecai 2017,pEA
Tesla 2018,Aedes aegypti,ZIKV,Tesla 2018,"bc, EIR"
Tesla 2018,Aedes aegypti,NA,Tesla 2018,lf
Thomas et al. 2018,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Thomas et al. 2018,Anopheles stephensi,Plasmodium vivax,Villena 2022,PDR
Trpis&Shemanchuk_1970_TheCanadianEntomologist,Aedes vexans,NA,Shocket 2020,"1/MDR, pLA"
Tun-Lin_et_al_2000_MedVetEnto,Aedes aegypti,NA,Mordecai 2017,"MDR, pEA"
Turell_&_Lundstrom_1990_AmericanJofTropicalMedicineandHygiene,Aedes taeniorhynchus,SINV,Shocket 2020,"c, EIP"
Turell_Rossi_Bailey_1985_AmJTropMedHyg,Aedes taeniorhynchus,RVFV,Shocket 2020,"bc, EIP"
VanderLinde_1990_JEntSocSAfrica,Culex theileri,NA,Shocket 2020,Egg viability
Vaughan et al 1992,Anopheles gambiae,Plasmodium falciparum,Villena 2022,PDR
"Vaughan et al., 1992",Anopheles gambiae,Plasmodium falciparum,Mordecai 2013,EIP
Waite et al. 2019,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2020,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2021,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2022,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2023,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2024,Anopheles gambiae,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2025,Anopheles gambiae,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2026,Anopheles gambiae,Plasmodium falciparum,Villena 2022,PDR
Watts_1987,Aedes spp.,other,Mordecai 2017,EIP
Watts_et_al_1987_AJTMH,Aedes aegypti,DENV,Mordecai 2017,"EIP, c, b"
Westbrook_Thesis_2010,Aedes aegypti,NA,Mordecai 2017,"pEA, MDR"
Westbrook_Thesis_2010,Aedes albopictus,CHIKV,Mordecai 2017,c
Westbrook_Thesis_2010,Aedes albopictus,NA,Mordecai 2017,"pEA, MDR"
Westbrook_et_al_2010_VecBorn&ZooDis,Aedes albopictus,CHIKV,Mordecai 2017,"b, c"
Westbrook_et_al_2010_VecBorn&ZooDis,Aedes albopictus,NA,Mordecai 2017,MDR
Williams_2011_AusJEntrom,Aedes notoscriptus,NA,Shocket 2018,"pLA, 1/MDR"
Witwatana_Kittayaong_2006_Med&VetEnt,Aedes albopictus,NA,Mordecai 2017,"pEA, MDR"
Xiao_et_al_2014_Arch Virol,Aedes albopictus,DENV,Mordecai 2017,"EIP, b, c"
Yang_et_al_2008_EpidInfect,Aedes aegypti,NA,Mordecai 2017,"p/days, EFD"
Yee_et al_2016 JAE_in_review,Aedes albopictus,NA,Mordecai 2017,"1/MDR, TFD"
